,Unnamed: 0,ATS SYSTEM CODE,LOCATION_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_ADDRESS_LINE_1,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,GEOGRAPHICAL_DISTRICT_CODE,LatLong,latitude,longitude,zipcode,zcta,nbhLabel,boroLabel,label
1446,1446,30Q361      ,The Woodside Community School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2015 12:00,Open,39-07 57th Street,402,26,25700,QN63,30,"(40.747701, -73.90643)",40.747701,-73.90643,11377,11377,Woodside,Queens,The Woodside Community School Elementary
1447,1447,30Q445      ,William Cullen Bryant High School,General Academic,High school,"09,10,11,12",1/7/1939 12:00,Open,48-10 31 AVENUE,401,26,16300,QN70,30,"(40.757072, -73.911165)",40.757072,-73.911165,11377,11377,Woodside,Queens,William Cullen Bryant High School High school
1448,1448,30Q450      ,Long Island City High School,General Academic,High school,"09,10,11,12",5/6/1996 12:00,Open,14-30 BROADWAY,401,22,4500,QN70,30,"(40.765881, -73.933907)",40.765881,-73.933907,11106,11106,Ravenswood (Astoria),Queens,Long Island City High School High school
1449,1449,30Q501      ,Frank Sinatra School of the Arts High School,General Academic,High school,"09,10,11,12",1/7/2000 12:00,Open,35-12 35TH AVENUE,401,26,5700,QN70,30,"(40.756099, -73.925182)",40.756099,-73.925182,11106,11106,Ravenswood (Astoria),Queens,Frank Sinatra School of the Arts High School High school
1450,1450,30Q502      ,Information Technology High School,General Academic,High school,"09,10,11,12",1/7/2002 12:00,Open,21-16 44TH ROAD,402,26,1900,QN31,30,"(40.748502, -73.946488)",40.748502,-73.946488,11101,11101,Long Island City,Queens,Information Technology High School High school
1451,1451,30Q555      ,Newcomers High School,General Academic,High school,"09,10,11,12",5/6/1996 12:00,Open,28-01 41 AVENUE,401,26,3300,QN68,30,"(40.751838, -73.936592)",40.751838,-73.936592,11101,11101,Long Island City,Queens,Newcomers High School High school
1452,1452,30Q575      ,Academy of American Studies,General Academic,High school,"09,10,11,12",4/18/1996 0:00,Open,28-04 41 AVENUE,401,26,3300,QN68,30,"(40.751144, -73.937564)",40.751144,-73.937564,11101,11101,Long Island City,Queens,Academy of American Studies High school
1453,1453,30Q580      ,Baccalaureate School for Global Education,General Academic,Secondary School,"07,08,09,10,11,12",1/7/2001 12:00,Open,34-12 36 AVENUE,401,26,5500,QN68,30,"(40.754975, -73.926977)",40.754975,-73.926977,11106,11106,Ravenswood (Astoria),Queens,Baccalaureate School for Global Education Secondary School
1454,1454,31R001      ,P.S. 001 Tottenville,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1996 12:00,Open,58 SUMMIT STREET,503,51,24401,SI11,31,"(40.508638, -74.24395)",40.508638,-74.24395,10307,10307,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island,P.S. 001 Tottenville Elementary
1455,1455,31R002      ,I.S. R002 George L. Egbert,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/1963 12:00,Open,333 MIDLAND AVENUE,502,50,11202,SI45,31,"(40.576728, -74.099685)",40.576728,-74.099685,10306,10306,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island,I.S. R002 George L. Egbert Junior High-Intermediate-Middle
