License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
672223,JAC   ,IDREES MINI MART INC             ,97,W END AVE                     ,BROOKLYN          ,NY,11235,40.579304,-73.95336,11235,"Brighton Beach, Manhattan Beach, Sheepshead Bay",Brooklyn,IDREES MINI MART INC
670993,A     ,AMIGO 99 CENTS OF GRAHAM INC     ,119,GRAHAM AVE                   ,BROOKLYN          ,NY,11206,40.705894,-73.942964,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn,AMIGO 99 CENTS OF GRAHAM INC
671961,JAC   ,LORIMER EXPRESS FOOD INC         ,574,BROADWAY                     ,BROOKLYN          ,NY,11206,40.704053,-73.947755,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn,LORIMER EXPRESS FOOD INC
711623,A     ,WALGREEN EASTERN CO INC          ,589,PROSPECT AVE                 ,BROOKLYN          ,NY,11215,40.656404,-73.977718,11215,"Park Slope, Windsor Terrace, Prospect Park",Brooklyn,WALGREEN EASTERN CO INC
671856,JAC   ,CHANG JIANG FOOD CORP            ,328,STAGG ST                     ,BROOKLYN          ,NY,11206,40.710256,-73.935414,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn,CHANG JIANG FOOD CORP
704488,JAC   ,215 FINE FOOD DELI CORP          ,215,4TH AVE                      ,BROOKLYN          ,NY,11215,40.677267,-73.983063,11215,"Park Slope, Windsor Terrace, Prospect Park",Brooklyn,215 FINE FOOD DELI CORP
671667,JAC   ,FAVORITE CHOICE GROCERY INC      ,8401,15TH AVE                    ,BROOKLYN          ,NY,11228,40.612527,-74.008355,11228,Dyker Heights,Brooklyn,FAVORITE CHOICE GROCERY INC
708169,JAC   ,GREEN & ORGANICS DELI INC        ,446,FRANKLIN AVE                 ,BROOKLYN          ,NY,11238,40.683452,-73.956138,11238,Prospect Heights,Brooklyn,GREEN & ORGANICS DELI INC
705721,A     ,2965 GAS CORP                    ,2965,86TH ST                     ,BROOKLYN          ,NY,11223,40.590321,-73.974609,11223,"Gravesend, Homecrest, Kensington",Brooklyn,2965 GAS CORP
704676,JAC   ,CORTEZ MEXICAN AMERICAN GROCERY &,6623,20TH AVE                    ,BROOKLYN          ,NY,11204,40.615502,-73.98692,11204,"Bensonhurst, Parkville",Brooklyn,CORTEZ MEXICAN AMERICAN GROCERY &
