RegionName,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-02,PctChange
11216,1667,1826,2151,2393,2458,2458,2500,2486,32.94448914
10014,3463,3466,3723,4481,4388,4418,4369,4277,19.0320318
11354,1707,1818,1942,2122,2229,2208,2210,2195,22.23234624
10466,1534,1597,1640,1680,1821,1767,1920,1938,20.84623323
11374,1657,1732,1932,2085,2253,2133,2107,2103,21.20779838
10473,1538,1616,1641,1724,1839,1797,1844,1860,17.31182796
10451,1526,1521,1614,1650,1784,1803,1817,1838,16.9749728
11210,1594,1652,1731,2001,2117,2291,2302,2303,30.78593139
10033,1923,1924,2099,2269,2658,2615,2602,2587,25.66679552
10036,3273,3378,3498,3843,3702,3721,3753,3699,11.51662612
