,RegionName,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-02,PctChange,zcta,nbhLabel,boroLabel
19,11209,1675,1753,1872,2098,2210,2247,2325,2330,28.11158798,11209,"Bay Ridge, Fort Hamilton",Brooklyn
20,11212,1519,1640,1753,1859,2046,2183,2221,2209,31.23585333,11212,"Brownsville, East Flatbush",Brooklyn
21,10024,3188,3256,3457,4079,4177,4115,4035,3897,18.19348217,10024,Upper West Side,Manhattan
22,11214,1588,1673,1710,1947,2134,2205,2187,2174,26.9549218,11214,Bath Beach,Brooklyn
23,11221,1625,1732,2186,2336,2472,2472,2483,2449,33.64638628,11221,"Bedford-Stuyvesant, Bushwick",Brooklyn
24,11229,1597,1669,1747,2020,2122,2241,2247,2257,29.24235711,11229,"Homecrest, Kensington, Kings Highway, Madison",Brooklyn
25,11207,1562,1651,1832,2019,2227,2254,2233,2216,29.51263538,11207,East New York,Brooklyn
26,10019,3228,3367,3567,3941,3820,3827,3847,3772,14.42205726,10019,Midtown West,Manhattan
27,11377,1684,1791,1946,2275,2377,2247,2209,2196,23.3151184,11377,Woodside,Queens
28,11234,1575,1669,1736,1945,2077,2249,2241,2246,29.87533393,11234,"Flatlands, Kings Plaza, Marine Park, Mill Basin",Brooklyn
29,11355,1705,1801,1961,2150,2253,2235,2231,2208,22.7807971,11355,"Flushing, Queensboro Hill",Queens
30,10314,1804,1867,1975,2150,2119,2104,2150,2152,16.17100372,10314,"Bloomsfield, Chelsea, Bulls Head, Graniteville, Westerleigh, Castelton Corners, Manor Heights, New Springville, Heartland Village",Staten Island
31,11215,2084,2387,2537,2678,2763,2697,2776,2727,23.57902457,11215,"Park Slope, Windsor Terrace, Prospect Park",Brooklyn
32,11211,2150,2449,2641,2781,2908,2934,2887,2822,23.81289865,11211,Williamsburg,Brooklyn
33,11385,1632,1688,1818,2054,2272,2242,2208,2193,25.58139535,11385,"Fresh Pond, Glendale, Ridgewood",Queens
34,11373,1663,1739,1928,2142,2269,2227,2200,2179,23.68058743,11373,Elmhurst,Queens
35,10028,2932,3048,3086,3341,3479,3470,3404,3371,13.02284189,10028,Upper East Side,Manhattan
36,11238,1974,2285,2531,2674,2723,2702,2760,2710,27.15867159,11238,Prospect Heights,Brooklyn
37,11233,1577,1681,1932,2180,2327,2331,2357,2335,32.46252677,11233,"Bedford-Stuyvesant, Stuyvesant Heights",Brooklyn
38,11236,1543,1661,1704,1836,2022,2177,2182,2177,29.12264584,11236,"Canarsie, Jamaica Bay",Brooklyn
39,10457,1533,1549,1589,1701,1823,1784,1801,1806,15.11627907,10457,"West Bronx, Mt Hope, Tremont, Belmont",Bronx
40,10027,2507,2466,2641,2958,3270,3243,3189,3137,20.08288173,10027,"Mt. Morris Park, Morningside Heights",Manhattan
41,11372,1642,1755,1958,2084,2252,2162,2131,2132,22.98311445,11372,Jackson Heights,Queens
42,11218,1678,1752,2058,2161,2267,2307,2319,2318,27.61000863,11218,"Ditmas Park, Kensington",Brooklyn
43,11223,1609,1665,1764,2011,2160,2261,2233,2234,27.97672337,11223,"Gravesend, Homecrest, Kensington",Brooklyn
44,10021,3071,3271,3328,3675,3679,3690,3711,3627,15.32947339,10021,Upper East Side,Manhattan
45,11208,1565,1670,1868,2118,2239,2255,2203,2197,28.76649977,11208,Cypress Hills,Brooklyn
46,11225,1618,1769,2037,2152,2340,2351,2409,2422,33.19570603,11225,"Crown Heights, Prospect Lefferts Gardens",Brooklyn
47,11204,1616,1660,1711,1987,2170,2235,2211,2196,26.41165756,11204,"Bensonhurst, Parkville",Brooklyn
48,10032,2048,1981,2151,2338,2833,2763,2790,2767,25.98482111,10032,Washington Heights,Manhattan
49,11219,1641,1682,1795,2037,2204,2261,2298,2276,27.89982425,11219,Borough Park,Brooklyn
50,11213,1602,1681,1913,2152,2313,2366,2369,2373,32.49051833,11213,"Brower Park, Crown Heights, Weeksville",Brooklyn
51,11368,1656,1736,1955,2180,2338,2246,2223,2207,24.96601722,11368,Willets Point,Queens
52,11203,1534,1692,1870,1917,2010,2227,2284,2273,32.51209855,11203,East Flatbush,Brooklyn
53,10031,2281,2198,2326,2663,3040,2983,2970,2937,22.33571672,10031,"Hamilton Heights, Sugar Hill",Manhattan
54,11220,1654,1715,1868,2036,2205,2242,2292,2272,27.20070423,11220,Sunset Park,Brooklyn
55,11216,1667,1826,2151,2393,2458,2458,2500,2486,32.94448914,11216,Bedford-Stuyvesant,Brooklyn
56,10014,3463,3466,3723,4481,4388,4418,4369,4277,19.0320318,10014,"West Village, Soho",Manhattan
57,11354,1707,1818,1942,2122,2229,2208,2210,2195,22.23234624,11354,"Flushing, Linden Hill",Queens
58,10466,1534,1597,1640,1680,1821,1767,1920,1938,20.84623323,10466,"Wakefield, Edenwald",Bronx
59,11374,1657,1732,1932,2085,2253,2133,2107,2103,21.20779838,11374,Rego Park,Queens
60,10473,1538,1616,1641,1724,1839,1797,1844,1860,17.31182796,10473,"Clason Point, Castle Hill, Shorehaven",Bronx
61,10451,1526,1521,1614,1650,1784,1803,1817,1838,16.9749728,10451,? (is a point on the map),Bronx
62,11210,1594,1652,1731,2001,2117,2291,2302,2303,30.78593139,11210,"Brooklyn College, Flatbush, Vanderveer",Brooklyn
63,10033,1923,1924,2099,2269,2658,2615,2602,2587,25.66679552,10033,Washington Heights,Manhattan
64,10036,3273,3378,3498,3843,3702,3721,3753,3699,11.51662612,10036,Midtown West,Manhattan
65,11434,1619,1676,1777,1859,2090,2204,2177,2146,24.55731594,11434,"Rochdale Village, South Jamaica",Queens
66,11224,1672,1732,1890,2043,2197,2273,2315,2323,28.02410676,11224,"Coney Island, Sea Gate",Brooklyn
67,10010,3201,3339,3518,3965,3801,3793,3904,3827,16.35746015,10010,"Gramercy, Flatiron",Manhattan
68,10306,1825,1919,2052,2243,2114,2181,2209,2209,17.38343142,10306,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
69,11691,1600,1656,1760,1869,2051,2127,2121,2098,23.73689228,11691,Bayswater (Far Rockaway),Queens
70,10469,1547,1579,1635,1704,1820,1749,1821,1841,15.96958175,10469,"Laconia, Pelham Gardens, Baychester",Bronx
71,10312,1824,1871,2076,2246,2146,2248,2224,2196,16.93989071,10312,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island
72,10461,1553,1578,1635,1718,1825,1758,1801,1833,15.27550464,10461,"Morris Park, Middletown-Pelham Bay, Westchester Square",Bronx
73,11106,1687,1872,2104,2390,2440,2285,2245,2232,24.41756272,11106,Ravenswood (Astoria),Queens
74,10022,3229,3323,3552,4017,3875,3817,3929,3783,14.64446207,10022,Midtown East,Manhattan
75,11432,1661,1720,1922,2106,2251,2247,2209,2196,24.36247723,11432,"Jamaica Estates, Jamaica Hills",Queens
76,11222,2021,2309,2574,2679,2797,2837,2754,2692,24.92570579,11222,Greenpoint,Brooklyn
77,11101,1845,2021,2316,2624,2574,2498,2612,2605,29.17466411,11101,Long Island City,Queens
78,10065,3327,3429,3665,4186,4222,4180,4117,3983,16.46999749,10065,Upper East Side,Manhattan
79,10459,1550,1592,1643,1718,1820,1804,1881,1887,17.85903551,10459,Foxhurst,Bronx
80,11205,1976,2286,2502,2659,2700,2726,2813,2763,28.48353239,11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn
81,11217,2159,2476,2660,2795,2843,2794,2864,2837,23.89848431,11217,"Boerum Hill, Gowanus, Park Slope",Brooklyn
82,11435,1628,1682,1816,1929,2121,2149,2123,2110,22.843601899999996,11435,"Briarwood, South Jamaica",Queens
83,10001,3291,3420,3629,3945,3837,3881,3920,3820,13.84816754,10001,"Chelsea,  West Midtown",Manhattan
84,10026,2583,2661,2783,3118,3343,3357,3323,3272,21.05745721,10026,"Manhattan Valley, Morningside Heights, Harlem",Manhattan
85,11237,1696,1822,2327,2339,2565,2522,2478,2453,30.86017122,11237,Bushwick,Brooklyn
86,11365,1760,1899,2090,2233,2387,2491,2539,2507,29.79656961,11365,"Hillcrest, Pomonok",Queens
87,11103,1708,1844,2007,2452,2476,2282,2232,2214,22.85456188,11103,Astoria,Queens
88,11367,1685,1744,1986,2159,2228,2158,2137,2135,21.07728337,11367,"Fresh Meadows, Kew Gardens Hills",Queens
89,11231,2097,2440,2704,2804,2904,2782,2832,2824,25.74362606,11231,"Carroll Gardens, Columbia Heights, Red Hook",Brooklyn
90,11102,1703,1877,2095,2401,2423,2308,2245,2228,23.56373429,11102,Astoria,Queens
91,10304,1799,1896,1987,2114,2097,2071,2095,2136,15.77715356,10304,"Clifton, Grasmere, Fox Hills, Park Hill, Todt Hill, Stapleton",Staten Island
92,10035,2347,2308,2447,2607,2922,2897,2953,2926,19.78810663,10035,Harlem,Manhattan
93,10075,2948,3119,3145,3419,3492,3499,3465,3418,13.75073142,10075,Upper East Side,Manhattan
94,11249,2374,2744,2821,2886,3077,3115,3185,3159,24.84963596,11211,Williamsburg,Brooklyn
95,10301,1823,1871,1946,2102,2120,2134,2094,2118,13.92823418,10301,"New Brighton, St. George, Tompkinsville, Silver Lake, Sunnyside",Staten Island
96,11357,1749,1863,2032,2179,2329,2328,2358,2350,25.57446809,11357,Malba,Queens
97,10305,1804,1859,1994,2110,2111,2088,2133,2153,16.20993962,10305,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
98,11105,1736,1879,2029,2423,2479,2292,2226,2208,21.37681159,11105,Astoria,Queens
99,10465,1579,1601,1656,1735,1850,1801,1876,1909,17.28653745,10465,"Throgs Neck, Schuylerville",Bronx
100,11364,1710,1811,2001,2193,2292,2224,2228,2208,22.55434783,11364,Oakland Gardens,Queens
101,11358,1756,1931,2078,2240,2380,2417,2465,2451,28.35577315,11358,"Murray Hill, Auburndale",Queens
102,10030,2143,2033,2214,2451,2905,2875,2924,2879,25.56443209,10030,Harlem,Manhattan
103,11104,1673,1786,1989,2346,2342,2216,2193,2196,23.81602914,11104,Sunnyside,Queens
104,10038,3214,3404,3491,3838,3802,3794,3832,3782,15.01850873,10038,"Financial District, Seaport",Manhattan
105,10039,2099,1962,2131,2320,2801,2789,2845,2792,24.82091691,10039,Harlem,Manhattan
106,10017,3037,3196,3410,3741,3592,3537,3598,3529,13.94162652,10017,Midtown East,Manhattan
107,11228,1637,1670,1753,1997,2201,2258,2288,2290,28.51528384,11228,Dyker Heights,Brooklyn
108,11379,1691,1747,1899,2250,2302,2274,2283,2254,24.97781721,11379,Middle Village,Queens
109,11413,1619,1694,1786,1863,2104,2232,2193,2166,25.25392428,11413,"Laurelton, Springfield Gardens",Queens
110,11420,1618,1674,1813,1881,2073,2222,2183,2162,25.16188714,11420,South Ozone Park,Queens
111,11414,1624,1673,1870,1941,2074,2168,2140,2152,24.53531599,11414,"Howard Beach, Lindenwood",Queens
112,10309,1856,1803,2099,2190,2178,2231,2172,2144,13.43283582,10309,"Charleston, Prince's Bay",Staten Island
113,11361,1755,1930,2064,2245,2350,2381,2419,2408,27.1179402,11361,Bayside,Queens
114,11412,1616,1702,1843,1920,2169,2240,2219,2202,26.61217075,11412,Saint Albans,Queens
115,10471,1626,1700,1683,1804,1991,2086,2077,2052,20.76023392,10471,Riverdale,Bronx
116,11378,1675,1755,1888,2262,2321,2250,2213,2195,23.69020501,11378,Maspeth,Queens
117,11421,1618,1672,1847,1911,2136,2178,2182,2166,25.30009234,11421,Woodhaven,Queens
118,11419,1626,1672,1839,1897,2101,2198,2183,2166,24.93074792,11419,"Kew Gardens, Richmond Hill",Queens
119,11433,1618,1678,1818,1910,2150,2195,2172,2148,24.67411546,11433,South Jamaica,Queens
120,11360,1749,1858,1992,2174,2294,2238,2237,2240,21.91964286,11360,Bay Terrace,Queens
121,10308,1824,1896,2032,2245,2134,2225,2199,2184,16.48351648,10308,Great Kills,Staten Island
122,11415,1631,1674,1851,2023,2146,2133,2088,2093,22.0735786,11415,Kew Gardens,Queens
123,11418,1623,1670,1844,1971,2176,2183,2172,2155,24.68677494,11418,"Kew Gardens, Richmond Hill",Queens
124,11423,1655,1734,1928,2106,2244,2293,2243,2225,25.61797753,11423,"Hollis, Holliswood, Jamaica Estates",Queens
125,11369,1667,1793,2003,2181,2319,2250,2253,2229,25.21310004,11369,East Elmhurst,Queens
126,10310,1809,1817,1921,2134,2094,2149,2096,2139,15.42776999,10310,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island
127,10303,1810,1814,1883,2097,2015,2029,2002,2064,12.30620155,10303,"Arlington, Marines Harbor",Staten Island
128,11422,1617,1701,1792,1858,2096,2193,2181,2151,24.82566248,11422,"Meadowmere, Rosedale",Queens
129,11694,1627,1681,1873,1947,2127,2186,2194,2193,25.80939352,11694,"Neponsit, Rockaway Park",Queens
130,11232,1711,1822,1944,2119,2293,2277,2327,2329,26.53499356,11232,"Greenwood, Industry City, Bush Terminal, Sunset Park",Brooklyn
131,11417,1619,1659,1837,1915,2079,2189,2182,2173,25.49470778,11417,"Ozone Park, Tudor Village",Queens
132,11427,1712,1811,2044,2186,2302,2290,2250,2247,23.80952381,11427,"Bellaire, Hollis Hills, Queens Village",Queens
133,11692,1597,1651,1762,1867,2034,2130,2106,2087,23.47867753,11692,Arverne (Far Rockaway),Queens
134,11370,1682,1817,1976,2220,2342,2253,2214,2190,23.19634703,11370,"East Elmhurst, Jackson Heights",Queens
135,11356,1687,1758,1927,2154,2289,2237,2248,2237,24.58649978,11356,College Point,Queens
136,10005,3336,3545,3528,3860,3787,3943,3909,3857,13.507907699999999,10005,Financial District,Manhattan
137,11429,1622,1726,1912,1998,2224,2269,2221,2214,26.73893406,11429,"Bellaire, Queens Village",Queens
138,11362,1732,1856,2007,2219,2315,2241,2261,2238,22.60947274,11362,"Douglaston, Little Neck",Queens
139,11411,1629,1717,1867,1887,2163,2267,2268,2265,28.0794702,11411,Cambria Heights,Queens
140,10470,1532,1617,1654,1685,1839,1750,1897,1911,19.8325484,10470,Woodlawn Heights,Bronx
141,11426,1723,1851,2071,2175,2321,2317,2346,2349,26.64963814,11426,Bellerose,Queens
142,10302,1811,1813,1880,2119,2035,2088,2034,2095,13.55608592,10302,Elm Park,Staten Island
143,11428,1717,1783,2001,2161,2278,2300,2258,2254,23.82431233,11428,"Bellaire, Queens Village",Queens
144,10044,2850,3066,3046,3274,3353,3321,3369,3314,14.001207,10044,"Washington Hts, Hudson Hts",Manhattan
145,11693,1608,1664,1801,1863,2018,2141,2110,2086,22.91466922,11693,"Broad Channel, Hammels, Rockaway Beach (Far Rockaway)",Queens
146,11004,1708,1817,2012,2163,2257,2190,2194,2181,21.687299399999997,11004,Glen Oaks,Queens
147,10280,3129,3293,3283,3467,3543,3575,3505,3498,10.54888508,10280,Battery Park City,Manhattan
148,11416,1605,1660,1821,1894,2097,2163,2162,2148,25.27932961,11416,Ozone Park,Queens
149,11436,1618,1663,1786,1864,2079,2213,2152,2117,23.57109117,11436,"South Jamaica, South Ozone Park",Queens
150,11366,1771,1917,2112,2253,2420,2561,2661,2648,33.11933535,11366,"Fresh Meadows, Hillcrest",Queens
151,11109,2131,2411,2740,2844,2827,2807,2869,2816,24.32528409,11109,Ravenswood (Astoria),Queens
152,10307,1926,1784,2146,2140,2167,2170,2042,2031,5.169867061000001,10307,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island
153,10069,4344,4589,4424,5537,5920,5924,5779,5674,23.44025379,10069,Upper West Side,Manhattan
154,11697,1665,1708,1957,2146,2265,2190,2227,2220,25.0,11697,"Breezy Point, Roxbury (Far Rockaway)",Queens
155,11363,1800,1949,2063,2275,2447,2551,2629,2611,31.06089621,11363,"Douglaston, Little Neck",Queens
156,10006,3037,3257,3251,3420,3492,3552,3413,3394,10.51856217,10006,"Financial District, Battery Park City",Manhattan
157,10004,3509,3675,3702,4101,4237,4277,4199,4135,15.13905683,10004,Battery Park City,Manhattan
158,10464,1617,1601,1682,1889,1860,1846,2000,2023,20.06920415,10464,"City Island, Hart Island",Bronx
159,11005,1703,1797,1937,2092,2166,2153,2143,2139,20.38335671,11005,Ditmars,Queens
